course_id,title,topic,difficulty,duration_mins,prerequisites
c1131,Crash Course in Pandas,DevOps,Beginner,30,[]
c1132,Practical Git,Cloud,Intermediate,90,"[""c1007"", ""c1100""]"
c1133,Fundamentals of Python,Data Science,Intermediate,60,[]
c1134,Practical Neural Networks,Programming,Intermediate,45,"[""c1108"", ""c1115""]"
c1135,Crash Course in Git,Tools,Beginner,120,[]
c1136,Fundamentals of Machine Learning,Security,Beginner,45,[]
c1137,Intro to Python,Cloud,Advanced,120,[]
c1138,Crash Course in Azure,Productivity,Beginner,90,[]
c1139,Crash Course in Git,Programming,Beginner,120,[]
c1140,Fundamentals of Git,DevOps,Beginner,60,[]
c1141,Hands-on Azure,Machine Learning,Beginner,90,[]
c1142,Crash Course in Azure,Machine Learning,Intermediate,45,[]
c1143,Intro to Pandas,DevOps,Advanced,90,[]
c1144,Fundamentals of Python,Data Science,Beginner,45,[]
c1145,Advanced Kubernetes,Security,Beginner,180,[]
c1146,Advanced SQL,Databases,Intermediate,90,"[""c1021"", ""c1068""]"
c1147,Hands-on AWS,Cloud,Intermediate,30,"[""c1143""]"
c1148,Fundamentals of Docker,Data Science,Beginner,45,[]
c1149,Fundamentals of Docker,Databases,Beginner,45,[]
c1150,Practical Pandas,Machine Learning,Beginner,60,[]
c1151,Fundamentals of Azure,Programming,Advanced,60,[]
c1152,Crash Course in Pandas,Data Science,Beginner,120,[]
c1153,Fundamentals of Pandas,Programming,Intermediate,60,[]
c1154,Practical Kubernetes,Machine Learning,Beginner,90,[]
c1155,Fundamentals of Azure,Machine Learning,Beginner,180,[]
c1156,Hands-on SQL,Tools,Advanced,60,"[""c1137""]"
c1157,Hands-on Neural Networks,Tools,Intermediate,90,[]
c1158,Hands-on Linux,DevOps,Advanced,120,"[""c1003""]"
c1159,Fundamentals of Azure,Security,Intermediate,180,[]
c1160,Practical Pandas,Security,Advanced,120,[]
c1161,Practical SQL,Data Science,Intermediate,120,[]
c1162,Advanced Linux,Tools,Intermediate,90,"[""c1032""]"
c1163,Crash Course in AWS,Machine Learning,Beginner,90,[]
c1164,Practical Neural Networks,Productivity,Advanced,90,[]
c1165,Fundamentals of Data Visualization,Security,Advanced,180,[]
c1166,Hands-on Python,DevOps,Beginner,45,[]
c1167,Practical Docker,Security,Beginner,30,[]
c1168,Advanced Linux,Productivity,Beginner,120,[]
c1169,Intro to Git,DevOps,Beginner,60,[]
c1170,Crash Course in Kubernetes,Programming,Intermediate,30,"[""c1114"", ""c1161""]"
c1171,Practical Python,Productivity,Beginner,45,[]
c1172,Advanced AWS,DevOps,Intermediate,90,[]
c1173,Crash Course in Kubernetes,Productivity,Advanced,120,"[""c1020""]"
c1174,Practical Python,Machine Learning,Advanced,90,[]
c1175,Practical Pandas,Security,Beginner,90,[]
c1176,Advanced SQL,Security,Intermediate,120,[]
c1177,Crash Course in AWS,Data Science,Beginner,60,[]
c1178,Crash Course in Linux,Productivity,Intermediate,120,[]
c1179,Advanced Kubernetes,Cloud,Intermediate,60,"[""c1012""]"
c1180,Crash Course in Pandas,DevOps,Intermediate,60,[]
c1181,Fundamentals of Data Visualization,Machine Learning,Beginner,90,[]
c1182,Advanced Kubernetes,Data Science,Beginner,90,[]
c1183,Hands-on Neural Networks,Machine Learning,Beginner,45,[]
c1184,Hands-on Linux,Data Science,Beginner,180,[]
c1185,Hands-on AWS,Data Science,Intermediate,90,[]
c1186,Advanced Data Visualization,Data Science,Advanced,120,[]
c1187,Practical Pandas,Machine Learning,Beginner,90,[]
c1188,Practical Linux,Databases,Beginner,45,[]
c1189,Hands-on Python,Data Science,Intermediate,90,"[""c1052"", ""c1150""]"
c1190,Hands-on Kubernetes,Programming,Intermediate,45,[]
c1191,Advanced Kubernetes,Programming,Advanced,180,[]
c1192,Advanced Azure,Tools,Advanced,45,"[""c1162""]"
c1193,Practical Git,Productivity,Advanced,90,[]
c1194,Crash Course in Azure,Security,Beginner,45,[]
c1195,Intro to AWS,Databases,Intermediate,90,[]
c1196,Crash Course in Linux,Cloud,Beginner,45,[]
c1197,Advanced Neural Networks,Data Science,Intermediate,45,"[""c1177""]"
c1198,Intro to Data Visualization,DevOps,Advanced,45,[]
c1199,Intro to Docker,Data Science,Intermediate,60,[]
